Response ID,Recipient Last Name,Distribution Channel,User Language,The restaurant feels luxury.,The restaurant feels high class.,Your gender:,Your age:,Condition Assigned
R_ONBVMoMfA0e4PL3,,anonymous,EN,6,7,2,34,slow_tempo
R_2SeQbAKwahC589E,,anonymous,EN,5,3,1,43,fast_tempo
R_7QdRUD4y0y61OPT,,anonymous,EN,9,9,2,39,slow_tempo
R_3L7pXGFguLtL2hh,,anonymous,EN,9,9,2,36,natural_tempo
R_2PzA7siLeDhvEiA,,anonymous,EN,4,6,2,22,fast_tempo
R_3KZoe399Wz2UFsu,,anonymous,EN,8,7,2,22,natural_tempo
R_pFeDeR4IygyrqOB,,anonymous,EN,9,9,1,24,slow_tempo
R_27fymJP0QqhqSqI,,anonymous,EN,4,3,1,30,natural_tempo
R_2OVi10Ij0xzOlyP,,anonymous,EN,8,9,1,36,natural_tempo
R_3Gjlb5Eeres0pOF,,anonymous,EN,8,9,2,30,fast_tempo
R_vq4TM2TFVH2cPap,,anonymous,EN,5,7,1,28,natural_tempo
R_3R2C6tKsOsZmvfa,,anonymous,EN,9,9,1,45,slow_tempo
R_Wc8gEp2W5X23B85,,anonymous,EN,6,6,2,24,fast_tempo
R_9mHPhPoZnKvTfDb,,anonymous,EN,6,6,1,31,slow_tempo
R_3M3hzBB1gXOwJGn,,anonymous,EN,9,8,2,51,fast_tempo
R_2B8KsJkfjA3hAit,,anonymous,EN,9,9,2,51,slow_tempo
R_2EGghqw6xwfRq4d,,anonymous,EN,8,9,2,71,natural_tempo
R_SOElL6gxZAYg2Nb,,anonymous,EN,5,5,2,75,fast_tempo
R_1Fapq1PxwTZfQmz,,anonymous,EN,4,5,2,34,slow_tempo
R_3PAgCdRNeZ3RklY,,anonymous,EN,6,5,1,52,fast_tempo
R_8lfwe8MZSOS8AZX,,anonymous,EN,9,9,2,32,slow_tempo
R_vGDb39sAFZy5LFL,,anonymous,EN,9,9,2,34,slow_tempo
R_3nSC7H5H4js4g8d,,anonymous,EN,8,8,1,45,natural_tempo
R_QohhbEYtrC4yNZT,,anonymous,EN,6,6,1,68,fast_tempo
R_10Ipmasf2Rr2oFP,,anonymous,EN,9,9,2,30,fast_tempo
R_YbG7cQpR2n9v4rv,,anonymous,EN,9,9,2,42,natural_tempo
R_2Xj6h6lQjgmS42y,,anonymous,EN,8,7,1,47,natural_tempo
R_2xYnX6ulASJxlfc,,anonymous,EN,8,6,2,43,fast_tempo
R_2zuJDILrsckgaXd,,anonymous,EN,6,6,2,50,fast_tempo
R_1CkigkdZtnn1j1P,,anonymous,EN,9,8,1,23,slow_tempo
R_0OpJ984r6QyO2T7,,anonymous,EN,9,9,1,63,natural_tempo
R_3DhiuB9e2L4oi6h,,anonymous,EN,6,7,1,28,slow_tempo
R_ZlqDVaz1sxcurZf,,anonymous,EN,4,6,2,29,natural_tempo
R_1DuNcbuLSg5Jl77,,anonymous,EN,8,8,2,34,slow_tempo
R_1PYNXCiUimSoxU5,,anonymous,EN,7,7,2,44,fast_tempo
R_r2wYkQNJUbmLsch,,anonymous,EN,9,9,2,41,fast_tempo
R_3O22A6qzbUWim0Q,,anonymous,EN,9,9,2,37,slow_tempo
R_26mrkT7zcjxl00q,,anonymous,EN,7,7,1,52,slow_tempo
R_1lyrlR4U82jusrb,,anonymous,EN,9,9,1,40,fast_tempo
R_1kSrgHc2fe7wPjL,,anonymous,EN,6,8,2,39,natural_tempo
R_1KoRxNskvxdTeb8,,anonymous,EN,8,8,1,33,fast_tempo
R_290uNZFb6LAeBDV,,anonymous,EN,3,7,2,33,natural_tempo
R_V41cpr2BngmH8kN,,anonymous,EN,5,5,1,86,natural_tempo
R_OlIYOsH7gllxr7H,,anonymous,EN,7,8,2,24,slow_tempo
R_2QS2jl0bpNxc6Ke,,anonymous,EN,7,8,2,39,natural_tempo
R_3oRP9fEnlDISqJq,,anonymous,EN,7,8,2,32,fast_tempo
R_3Pux1vdraLQYPAa,,anonymous,EN,9,9,2,42,slow_tempo
R_27NHutbKgAhhC3D,,anonymous,EN,6,7,2,28,slow_tempo
R_3PaxAZL294EQYXj,,anonymous,EN,7,4,2,25,fast_tempo
R_1KlHBXxbplOlzLk,,anonymous,EN,9,8,2,26,fast_tempo
R_1Iy0Oefklrt2vxB,,anonymous,EN,7,9,1,38,natural_tempo
R_2zTFLIuMiBW4WCL,,anonymous,EN,8,6,1,34,slow_tempo
